Series,SetName,TotalSetCardCount,SetCode,CardName,CardNumber,Rarity,MedPrice,Evolution,ImageName
Sword & Shield,Pokémon Futsal Promos 2020,005,FUT20,Pikachu on the Ball,001,Promo,-----,Basic,en_US-FUT2020-005-pikachu_on_the_ball.jpg
Sword & Shield,Pokémon Futsal Promos 2020,005,FUT20,Eevee on the Ball,002,Promo,-----,Basic,en_US-FUT2020-002-eevee_on_the_ball.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Butterfree V,001,Rare Holo V,$2.00,Basic,en_US-SWSH3-001-butterfree_v.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Butterfree VMAX,002,Rare Holo VMAX,$4.00,VMAX,en_US-SWSH3-002-butterfree_vmax.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Paras,003,Common,$0.16,Basic,en_US-SWSH3-003-paras.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Parasect,004,Uncommon,$0.16,Stage 1,en_US-SWSH3-004-parasect.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Carnivine,005,Uncommon,$0.15,Basic,en_US-SWSH3-005-carnivine.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Pansage,006,Common,$0.15,Basic,en_US-SWSH3-006-pansage.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Simisage,007,Uncommon,$0.15,Stage 1,en_US-SWSH3-007-simisage.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Karrablast,008,Common,$0.15,Basic,en_US-SWSH3-008-karrablast.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Shelmet,009,Common,$0.15,Basic,en_US-SWSH3-009-shelmet.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Accelgor,010,Rare,$0.20,Stage 1,en_US-SWSH3-010-accelgor.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Rowlet,011,Common,$0.17,Basic,en_US-SWSH3-011-rowlet.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Dartrix,012,Uncommon,$0.17,Stage 1,en_US-SWSH3-012-dartrix.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Decidueye,013,Rare Holo,$1.01,Stage 2,en_US-SWSH3-013-decidueye.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Bounsweet,014,Common,$0.15,Basic,en_US-SWSH3-014-bounsweet.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Steenee,015,Uncommon,$0.16,Stage 1,en_US-SWSH3-015-steenee.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Tsareena,016,Rare,$0.25,Stage 2,en_US-SWSH3-016-tsareena.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Wimpod,017,Common,$0.17,Basic,en_US-SWSH3-017-wimpod.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Golisopod,018,Rare Holo,$0.74,Stage 1,en_US-SWSH3-018-golisopod.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Charizard V,019,Rare Holo V,$9.99,Basic,en_US-SWSH3-019-charizard_v.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Charizard VMAX,020,Rare Holo VMAX,$111.97,VMAX,en_US-SWSH3-020-charizard_vmax.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Houndoom V,021,Rare Holo V,$1.96,Basic,en_US-SWSH3-021-houndoom_v.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Torchic,022,Common,$0.15,Basic,en_US-SWSH3-022-torchic.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Combusken,023,Uncommon,$0.15,Stage 1,en_US-SWSH3-023-combusken.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Blaziken,024,Rare Holo,$0.48,Stage 2,en_US-SWSH3-024-blaziken.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Heatran,025,Rare Holo,$0.34,Basic,en_US-SWSH3-025-heatran.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Pansear,026,Common,$0.15,Basic,en_US-SWSH3-026-pansear.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Simisear,027,Uncommon,$0.25,Stage 1,en_US-SWSH3-027-simisear.jpg
